region,year,weight_sum,effective_obs,ridge_rho_effective,smoother_status,leave_out,state_index,solver_backend,max_generalized_residual,max_interval_residual,d_2,kappa5_2,max_distance5_2,median_distance5_2,d_4,kappa5_4,max_distance5_4,median_distance5_4
Middle Atlantic,2000,1031.5083543992973,1450.26812890407,0.08,smoothed,none,70,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
Middle Atlantic,2001,1022.4378214452329,1426.0333349961288,0.08,smoothed,none,71,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
Middle Atlantic,2002,1003.7615529973026,1379.1673857022502,0.08,smoothed,none,72,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
Middle Atlantic,2003,969.3509482774156,1301.5145357061963,0.08,smoothed,none,73,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
Middle Atlantic,2004,912.6174521991223,1192.1380791681606,0.08,smoothed,none,74,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
Middle Atlantic,2005,828.9162211601191,1060.5576982994362,0.08,smoothed,none,75,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
Middle Atlantic,2006,718.414459557737,922.6536689784812,0.08,smoothed,none,76,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
Middle Atlantic,2007,587.8720528486159,792.8313330906275,0.08,smoothed,none,77,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
New England,1969,276.2357922772381,372.0746740511433,0.08,smoothed,none,78,scipy.linalg.eigh subset_by_value,2.811180156928459e-13,2.811180156928459e-13,6,0.00300523064152805,0.9998564901974551,0.9994802235172406,4,0.0011262544436880782,0.9998564901974551,0.9994802235172406
New England,1970,337.3659793052425,432.8553122791142,0.08,smoothed,none,79,scipy.linalg.eigh subset_by_value,2.6942290969059307e-13,2.6942290969059307e-13,6,0.0029797192908340175,0.9999100338049122,0.9995369831674036,4,0.0011765284129247938,0.9997232245613226,0.9995369831674036
New England,1971,389.02428538242543,497.58885540765425,0.08,smoothed,none,80,scipy.linalg.eigh subset_by_value,2.5256433261823207e-13,2.5256433261823207e-13,6,0.0029465762261987535,0.9999899401481421,0.999687947625727,5,0.0035318675509355088,0.9997815215943582,0.9996094243435266
New England,1972,428.10934945455244,559.5721846947459,0.08,smoothed,none,81,scipy.linalg.eigh subset_by_value,2.3205973246247686e-13,2.3205973246247686e-13,8,0.0026513474925461797,0.9999394363822057,0.9991283134565725,4,0.004306640169392751,0.9997581822595878,0.998799973018708
