eta,candidate_valid,blocked_predictive_neg_loglik,blocked_predictive_effective_n_median,blocked_predictive_min_training_weight_sum,min_weight,max_weight,max_row_sum_error,max_column_sum_error,symmetry_error,mean_C_relative_error,effective_n_min,effective_n_median,effective_n_max,diagonal_weight_median,grid_extension_round
0.04880735305690762,True,959.9043034086991,12.83015421975843,0.07095393706419008,5.507084749550999e-37,0.19786393803789074,3.9968028886505635e-15,4.6629367034256575e-15,0.0,9.647631492115625e-16,9.107956102728533,17.998939522071577,17.99893952207158,0.10979411722246023,1
0.08796286689527039,True,1173.2003459980854,8.513017369889512,0.028836673666745475,4.4790869571184194e-49,0.2558472399366482,2.886579864025407e-15,3.1086244689504383e-15,0.0,2.136595425715259e-15,6.817164650653369,13.347131977888692,13.347131977888695,0.14668855033509523,2
0.10393930393433662,True,1230.8678384706297,7.59736054944623,0.021233133578150848,3.4212179267724306e-53,0.2745883806394806,2.6645352591003757e-15,2.886579864025407e-15,0.0,1.903179994824271e-15,6.283629392264385,12.25683344859253,12.256833448592534,0.15914369508027876,0
0.11014726742251497,True,1250.7544694918297,7.306338526550168,0.018976426244197764,1.0522438431797821e-54,0.28134927358352946,2.220446049250313e-15,2.4424906541753444e-15,0.0,1.1696094637261162e-15,6.108601968386532,11.898341919426079,11.898341919426082,0.16370357819599915,1
0.20764559285554718,True,1475.1225060462448,4.88172196853738,0.004418568172918516,2.4306906197234473e-74,0.36353655772449983,4.440892098500626e-16,7.771561172376096e-16,0.0,3.7662291485454225e-16,4.501509978855185,8.579619249132188,8.57961924913219,0.22214768037775576,2
0.2373050939472844,True,1525.282491345686,4.513863313652635,0.0030599190497735615,2.689267110933491e-79,0.38272906502525905,1.1102230246251565e-15,1.3322676295501878e-15,0.0,7.146087919223927e-16,4.225628735220318,8.003056093386316,8.003056093386318,0.2366511737448845,0
0.2485777195600243,True,1542.8973084803038,4.395145246858488,0.0026781947945794604,4.284700136266029e-81,0.38954519925601544,1.3322676295501878e-15,1.5543122344752192e-15,0.0,3.8764797476377587e-16,4.134192396209118,7.811354506503489,7.8113545065034895,0.2418852109826718,1
0.4901692470263245,True,1792.8442652162623,3.076143275852611,0.0002642311061461195,2.2819314805382116e-112,0.4966941303676112,5.551115123125783e-16,9.992007221626409e-16,0.0,5.245575920575927e-16,3.026622981269717,5.457480229132696,5.457480229132697,0.330401244617684,2
0.5417941575682057,True,1826.0980921415612,2.93270383415564,0.0001760649086423639,7.461154972233496e-118,0.5134366415556298,6.661338147750939e-16,5.551115123125783e-16,0.0,5.26293786186897e-16,2.8953199638037597,5.173490251655694,5.1734902516556955,0.3453849704010739,0
0.560984254149836,True,1837.412997909007,2.8851958101878634,0.0001522437045035658,8.097651651799626e-120,0.519295399397487,1.1102230246251565e-15,1.1102230246251565e-15,0.0,9.592921634073648e-16,2.851372460300056,5.078151055818296,5.078151055818296,0.35070830413181736,1
1.1570960280264686,True,2062.2778665523274,2.114273923682731,4.307284212512211e-06,5.090349479704113e-168,0.6428502963446631,4.440892098500626e-16,4.440892098500626e-16,0.0,3.7053865723758073e-16,2.1111442452034015,3.4485405273957417,3.448540527395742,0.4736767761236765,2
